starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 05 21:22:53 2021	1625516573	0	1025	1025	1025
Mon Jul 05 21:22:53 2021	1625516573	0	1025	1025	1025
Mon Jul 05 21:22:50 2021	1625516570	0	1025	1025	1025
Mon Jul 05 21:22:53 2021	1625516573	0	1025	1026	1025
Mon Jul 05 21:22:50 2021	1625516570	0	1026	1026	1025
Mon Jul 05 21:22:44 2021	1625516564	3	1023	1026	1022
Mon Jul 05 21:22:46 2021	1625516566	0	1027	1027	1027
Mon Jul 05 21:22:47 2021	1625516567	0	1028	1028	1027
Mon Jul 05 21:22:46 2021	1625516566	0	1028	1028	1028
Mon Jul 05 21:22:53 2021	1625516573	0	1028	1028	1028
Mon Jul 05 21:22:44 2021	1625516564	2	1027	1029	1026
Mon Jul 05 21:22:53 2021	1625516573	0	1029	1029	1029
Mon Jul 05 21:22:44 2021	1625516564	4	1027	1031	1027
Mon Jul 05 21:22:45 2021	1625516565	0	1031	1032	1029
Mon Jul 05 21:22:50 2021	1625516570	0	1032	1032	1032
Mon Jul 05 21:22:45 2021	1625516565	0	1032	1032	1032
Mon Jul 05 21:22:52 2021	1625516572	0	1033	1033	1031
Mon Jul 05 21:22:53 2021	1625516573	0	1033	1033	1032
Mon Jul 05 21:22:45 2021	1625516565	0	1033	1033	1031
Mon Jul 05 21:22:45 2021	1625516565	0	1034	1034	1034
Mon Jul 05 21:22:50 2021	1625516570	0	1035	1035	1035
Mon Jul 05 21:22:45 2021	1625516565	0	1036	1036	1035
Mon Jul 05 21:22:45 2021	1625516565	0	1037	1037	1036
Mon Jul 05 21:22:50 2021	1625516570	0	1037	1037	1037
Mon Jul 05 21:22:45 2021	1625516565	0	1037	1037	1036
Mon Jul 05 21:22:46 2021	1625516566	0	1037	1038	1037
Mon Jul 05 21:22:53 2021	1625516573	0	1038	1038	1037
Mon Jul 05 21:22:51 2021	1625516571	0	1038	1038	1038
Mon Jul 05 21:22:45 2021	1625516565	0	1039	1039	1033
Mon Jul 05 21:22:55 2021	1625516575	0	1039	1039	1038
Mon Jul 05 21:22:46 2021	1625516566	0	1039	1039	1038
Mon Jul 05 21:22:47 2021	1625516567	0	1039	1039	1039
Mon Jul 05 21:23:09 2021	1625516589	0	1040	1041	1040
Mon Jul 05 21:22:55 2021	1625516575	0	1041	1041	1040
Mon Jul 05 21:23:09 2021	1625516589	0	1041	1041	1040
Mon Jul 05 21:22:47 2021	1625516567	0	1041	1041	1041
Mon Jul 05 21:22:46 2021	1625516566	0	1044	1044	1043
Mon Jul 05 21:23:09 2021	1625516589	0	1044	1044	1043
Mon Jul 05 21:22:50 2021	1625516570	0	1044	1044	1043
Mon Jul 05 21:22:52 2021	1625516572	0	1045	1045	1045
Mon Jul 05 21:22:53 2021	1625516573	0	1045	1046	1045
Mon Jul 05 21:23:09 2021	1625516589	0	1047	1048	1047
Mon Jul 05 21:22:47 2021	1625516567	0	1049	1049	1048
Mon Jul 05 21:23:05 2021	1625516585	0	1049	1049	1048
Mon Jul 05 21:23:09 2021	1625516589	0	1049	1049	1048
Mon Jul 05 21:22:47 2021	1625516567	0	1049	1049	1049
Mon Jul 05 21:22:51 2021	1625516571	0	1050	1050	1049
Mon Jul 05 21:23:09 2021	1625516589	0	1051	1051	1051
Mon Jul 05 21:22:50 2021	1625516570	0	1051	1051	1051
Mon Jul 05 21:22:50 2021	1625516570	0	1052	1052	1052
Mon Jul 05 21:22:54 2021	1625516574	0	1053	1053	1052
Mon Jul 05 21:23:09 2021	1625516589	0	1053	1054	1053
Mon Jul 05 21:22:50 2021	1625516570	0	1054	1054	1052
Mon Jul 05 21:22:50 2021	1625516570	0	1054	1054	1054
Mon Jul 05 21:22:51 2021	1625516571	0	1054	1054	1054
Mon Jul 05 21:23:00 2021	1625516580	0	1054	1054	1054
Mon Jul 05 21:22:45 2021	1625516565	0	1054	1055	1054
Mon Jul 05 21:23:09 2021	1625516589	0	1055	1055	1054
Mon Jul 05 21:22:47 2021	1625516567	0	1057	1057	1056
Mon Jul 05 21:22:44 2021	1625516564	3	1054	1057	1054
Mon Jul 05 21:23:09 2021	1625516589	0	1058	1058	1052
Mon Jul 05 21:22:51 2021	1625516571	0	1058	1059	1058
Mon Jul 05 21:23:00 2021	1625516580	0	1059	1059	1058
Mon Jul 05 21:22:50 2021	1625516570	0	1059	1059	1058
Mon Jul 05 21:22:53 2021	1625516573	0	1060	1060	1059
Mon Jul 05 21:22:46 2021	1625516566	0	1060	1060	1060
Mon Jul 05 21:23:00 2021	1625516580	0	1060	1061	1060
Mon Jul 05 21:22:47 2021	1625516567	0	1060	1061	1060
Mon Jul 05 21:22:50 2021	1625516570	0	1061	1061	1060
Mon Jul 05 21:22:45 2021	1625516565	0	1061	1062	1061
Mon Jul 05 21:22:47 2021	1625516567	0	1062	1062	1061
Mon Jul 05 21:22:52 2021	1625516572	0	1062	1062	1061
Mon Jul 05 21:22:47 2021	1625516567	0	1062	1062	1061
Mon Jul 05 21:23:09 2021	1625516589	0	1062	1062	1061
Mon Jul 05 21:22:47 2021	1625516567	0	1063	1063	1062
Mon Jul 05 21:22:47 2021	1625516567	0	1063	1063	1063
Mon Jul 05 21:22:44 2021	1625516564	2	1061	1064	1061
Mon Jul 05 21:22:44 2021	1625516564	2	1062	1064	1061
Mon Jul 05 21:22:50 2021	1625516570	0	1065	1065	1064
Mon Jul 05 21:22:53 2021	1625516573	0	1065	1065	1064
Mon Jul 05 21:22:47 2021	1625516567	0	1065	1065	1064
Mon Jul 05 21:22:50 2021	1625516570	0	1065	1065	1064
Mon Jul 05 21:22:46 2021	1625516566	0	1066	1066	1065
Mon Jul 05 21:22:50 2021	1625516570	0	1066	1066	1066
Mon Jul 05 21:22:50 2021	1625516570	0	1068	1068	1067
Mon Jul 05 21:22:53 2021	1625516573	0	1068	1068	1068
Mon Jul 05 21:22:50 2021	1625516570	0	1068	1069	1068
Mon Jul 05 21:22:44 2021	1625516564	4	1065	1069	1064
Mon Jul 05 21:23:09 2021	1625516589	0	1070	1071	1070
Mon Jul 05 21:22:45 2021	1625516565	0	1071	1071	1071
Mon Jul 05 21:22:53 2021	1625516573	0	1071	1072	1071
